NO,NEGERI,PPD,PERINGKAT,JENIS,KODSEKOLAH,NAMASEKOLAH,ALAMATSURAT,POSKODSURAT,BANDARSURAT,NOTELEFON,NOFAX,EMAIL,LOKASI,BANTUAN,MURID,GURU,PRASEKOLAH,INTEGRASI,KOORDINAT_X,KOORDINAT_Y
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0012,SEKOLAH KEBANGSAAN KAMPONG PAHANG,JALAN PAHANG,35000,TAPAH,054010396,054010396,ABA0012@moe.edu.my,Bandar,SK,156.0,17.0,TIADA,ADA,101.2906353,4.224791585
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0013,SEKOLAH KEBANGSAAN BATU TUJUH,JALAN PAHANG,35000,TAPAH,054010735,054010735,ABA0013@moe.edu.my,Luar Bandar,SK,495.0,39.0,TIADA,ADA,101.318631,4.250268
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0014,SEKOLAH KEBANGSAAN JERAM MENGKUANG,"BATU 5, JERAM MENGKUANG",35500,BIDOR,01165566341,TIADA,ABA0014@moe.edu.my,Bandar,SK,51.0,12.0,TIADA,ADA,101.2414126,4.067267615
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0015,SEKOLAH KEBANGSAAN SUNGAI LESONG,KG SUNGAI LESONG,31950,MAMBANG DI AWAN,054780468,054780468,ABA0015@moe.edu.my,Bandar,SK,276.0,29.0,TIADA,ADA,101.1454794,4.231541228
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0016,SEKOLAH KEBANGSAAN AYER KUNING,AIR KUNING KAMPAR,31920,KAMPAR,054789326,054789326,ABA0016@moe.edu.my,Bandar,SK,187.0,24.0,ADA,ADA,101.1435608,4.194635174
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0017,SEKOLAH KEBANGSAAN BATU MASJID,KAMPONG BATU MASJID,35350,TEMOH,01165750567,TIADA,ABA0017@moe.edu.my,Bandar,SK,74.0,13.0,TIADA,ADA,101.200528,4.226201
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0018,SEKOLAH KEBANGSAAN SUNGKAI,SUNGKAI,35600,SUNGKAI,054388434,054388434,ABA0018@moe.edu.my,Luar Bandar,SK,485.0,47.0,ADA,ADA,101.3097114,3.995430141
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0019,SEKOLAH KEBANGSAAN PERLOK,JALAN MENDERANG,35600,SUNGKAI,054386911,054386911,ABA0019@moe.edu.my,Luar Bandar,SK,169.0,20.0,TIADA,ADA,101.342328,4.010141999
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0020,SEKOLAH KEBANGSAAN BIKAM,KAMPUNG BIKAM,35600,SUNGKAI,054386179,054386179,ABA0020@moe.edu.my,Luar Bandar,SK,73.0,12.0,TIADA,ADA,101.2974278,4.044575075
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0024,SEKOLAH KEBANGSAAN CHANGKAT SULAIMAN,KG.CHANGKAT SULAIMAN,35600,SUNGKAI,054389843,054389843,ABA0024@moe.edu.my,Luar Bandar,SK,147.0,17.0,TIADA,ADA,101.2955891,3.971203177
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0031,SEKOLAH KEBANGSAAN FELDA SUNGAI KELAH,FELDA SUNGAI KELAH,35600,SUNGKAI,054388500,054388501,ABA0031@moe.edu.my,Luar Bandar,SK,146.0,18.0,TIADA,ADA,101.3698264,3.989146238
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0034,SEKOLAH KEBANGSAAN BATU 14,JALAN PAHANG,35000,TAPAH,TIADA,TIADA,ABA0034@moe.edu.my,Luar Bandar,SK,328.0,28.0,TIADA,ADA,101.32708,4.322859
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0035,SEKOLAH KEBANGSAAN BESOUT 3,FELDA GUNUNG BESOUT 3,35600,SUNGKAI,054312313,054312313,ABA0035@moe.edu.my,Luar Bandar,SK,274.0,30.0,TIADA,ADA,101.3003989,3.843797295
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0110,SEKOLAH KEBANGSAAN TROLAK UTARA,FELDA TROLAK UTARA,35600,SUNGKAI,054323189,054321004,ABA0110@moe.edu.my,Luar Bandar,SK,328.0,30.0,TIADA,ADA,101.3585782,3.950507367
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0118,SEKOLAH KEBANGSAAN TROLAK SELATAN,FELDA TROLAK SELATAN,35600,SUNGKAI,054323534,054322734,ABA0118@moe.edu.my,Luar Bandar,SK,371.0,35.0,ADA,ADA,101.3867882,3.919545422
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0120,SEKOLAH KEBANGSAAN SERI BESOUT,FELDA GUNUNG BESOUT 01,35600,SUNGKAI,054311819,054311819,ABA0120@moe.edu.my,Luar Bandar,SK,439.0,44.0,ADA,ADA,101.286544,3.847763
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0125,SEKOLAH KEBANGSAAN POS GEDONG,PETI SURAT 20,35500,BIDOR,TIADA,TIADA,ABA0125@moe.edu.my,Luar Bandar,SK,87.0,12.0,TIADA,ADA,101.376862,4.170615
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0126,SEKOLAH KEBANGSAAN KAMPUNG SENTA,PETI SURAT 20,35500,BIDOR,TIADA,TIADA,ABA0126@moe.edu.my,Luar Bandar,SK,94.0,11.0,TIADA,ADA,101.330783,4.153609
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0127,SEKOLAH KEBANGSAAN POS MUSUH LZ,PETI SURAT 51,35000,TAPAH,TIADA,TIADA,ABA0127@moe.edu.my,Luar Bandar,SK,54.0,11.0,TIADA,ADA,101.335809,4.262299
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0128,SEKOLAH KEBANGSAAN JERNANG,"P/SURAT 14, PEJABAT POS SUNGKAI",35600,SUNGKAI,TIADA,TIADA,ABA0128@moe.edu.my,Luar Bandar,SK,171.0,17.0,TIADA,ADA,101.419363,4.051292
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0129,SEKOLAH KEBANGSAAN TAPAH,JALAN BIDOR LAMA,35000,TAPAH,054016122,054016122,ABA0129@moe.edu.my,Bandar,SK,102.0,17.0,TIADA,ADA,101.2679804,4.181659638
,PERAK,PPD BATANG PADANG,Rendah,SK,ABA0130,SEKOLAH KEBANGSAAN BIDOR 2,JALAN TELUK INTAN,35500,BIDOR,054341216,054340926,ABA0130@moe.edu.my,Bandar,SK,588.0,52.0,ADA,ADA,101.2769547,4.117048112
,PERAK,PPD MANJUNG,Rendah,SK,ABA1001,SEKOLAH KEBANGSAAN DENDANG,KAMPUNG DENDANG,32700,BERUAS,01165750536,01165750536,ABA1001@moe.edu.my,Luar Bandar,SK,94.0,16.0,TIADA,ADA,100.8154582,4.502661886
,PERAK,PPD MANJUNG,Rendah,SK,ABA1002,SEKOLAH KEBANGSAAN BERUAS,JALAN PARIT,32700,BERUAS,056740696,056749009,ABA1002@moe.edu.my,Luar Bandar,SK,237.0,29.0,TIADA,ADA,100.786063,4.498995
,PERAK,PPD MANJUNG,Rendah,SK,ABA1003,SEKOLAH KEBANGSAAN KAMPUNG KOTA,JALAN SITIAWAN,32700,BERUAS,056748048,056748048,ABA1003@moe.edu.my,Luar Bandar,SK,113.0,16.0,TIADA,ADA,100.7844878,4.479139195
,PERAK,PPD MANJUNG,Rendah,SK,ABA1004,SEKOLAH KEBANGSAAN GELONG GAJAH,KAMPUNG  KEDAH,32700,BERUAS,056721145,056721145,ABA1004@moe.edu.my,Luar Bandar,SK,248.0,30.0,ADA,ADA,100.7784159,4.411288575
,PERAK,PPD MANJUNG,Rendah,SK,ABA1005,SEKOLAH KEBANGSAAN CHANGKAT CHERMIN,CHANGKAT CHERMIN,32400,AYER TAWAR,053765253,053765253,ABA1005@moe.edu.my,Bandar,SK,96.0,17.0,TIADA,ADA,100.817463,4.348482
,PERAK,PPD MANJUNG,Rendah,SK,ABA1006,SEKOLAH KEBANGSAAN AYER TAWAR,JALAN AYER TAWAR PANTAI REMIS,32400,AYER TAWAR,056724248,056724248,ABA1006@moe.edu.my,Bandar,SK,313.0,36.0,ADA,ADA,100.7730772,4.322562454
,PERAK,PPD MANJUNG,Rendah,SK,ABA1007,SEKOLAH KEBANGSAAN PANCHOR,JALAN PANTAI REMIS TAIPING,34900,PANTAI REMIS,056775795,056773528,ABA1007@moe.edu.my,Luar Bandar,SK,145.0,18.0,TIADA,ADA,100.65083,4.51905
,PERAK,PPD MANJUNG,Rendah,SK,ABA1008,SEKOLAH KEBANGSAAN PENGKALAN BAHARU,PENGKALAN BAHARU,34900,PANTAI REMIS,056775595,056775595,ABA1008@moe.edu.my,Bandar,SK,333.0,39.0,ADA,ADA,100.634395,4.478546
,PERAK,PPD MANJUNG,Rendah,SK,ABA1009,SEKOLAH KEBANGSAAN SUNGAI BATU,KAMPUNG SUNGAI BATU,34900,PANTAI REMIS,056774660,056777529,ABA1009@moe.edu.my,Bandar,SK,355.0,31.0,TIADA,ADA,100.6254004,4.434292794
,PERAK,PPD MANJUNG,Rendah,SK,ABA1010,SEKOLAH KEBANGSAAN LADANG HUNTLY,LADANG HUNTLY,32500,CHANGKAT KERUING,056752168,056752168,ABA1010@moe.edu.my,Luar Bandar,SK,86.0,13.0,TIADA,ADA,100.6946224,4.415320157
,PERAK,PPD MANJUNG,Rendah,SK,ABA1011,SEKOLAH KEBANGSAAN SEGARI,JALAN PANTAI REMIS DAMAR LAUT,32200,LUMUT,056774473,TIADA,ABA1011@moe.edu.my,Luar Bandar,SK,114.0,14.0,TIADA,ADA,100.6253635,4.350092939
,PERAK,PPD MANJUNG,Rendah,SK,ABA1012,SEKOLAH KEBANGSAAN NAKHODA MUHAMMAD TAIB,BATU 3 SEGARI,32200,LUMUT,056777151,056777151,ABA1012@moe.edu.my,Luar Bandar,SK,218.0,22.0,TIADA,ADA,100.624957,4.278504
,PERAK,PPD MANJUNG,Rendah,SK,ABA1013,SEKOLAH KEBANGSAAN SUNGAI RAMAI,KG. SUNGAI RAMAI,32400,AYER TAWAR,TIADA,TIADA,ABA1013@moe.edu.my,Bandar,SK,41.0,7.0,TIADA,ADA,100.744207,4.298834
,PERAK,PPD MANJUNG,Rendah,SK,ABA1014,SEKOLAH KEBANGSAAN SUNGAI WANGI,JALAN BRUAS,32400,AYER TAWAR,056924192,056924192,ABA1014@moe.edu.my,Bandar,SK,420.0,39.0,ADA,ADA,100.727487,4.26068
,PERAK,PPD MANJUNG,Rendah,SK,ABA1015,SEKOLAH KEBANGSAAN SERI SELAMAT,LORONG SELAMAT,32000,SITIAWAN,056922495,056926143,ABA1015@moe.edu.my,Bandar,SK,428.0,41.0,ADA,ADA,100.700283,4.213717345
,PERAK,PPD MANJUNG,Rendah,SK,ABA1016,SEKOLAH KEBANGSAAN SITIAWAN,KAMPONG SITIAWAN,32000,SITIAWAN,056923754,056923754,ABA1016@moe.edu.my,Bandar,SK,411.0,37.0,ADA,ADA,100.6899547,4.237376909
,PERAK,PPD MANJUNG,Rendah,SK,ABA1017,SEKOLAH KEBANGSAAN LEKIR,BATU 8,32020,SITIAWAN,056792764,056792764,ABA1017@moe.edu.my,Bandar,SK,448.0,38.0,ADA,ADA,100.7211418,4.147191074
,PERAK,PPD MANJUNG,Rendah,SK,ABA1018,SEKOLAH KEBANGSAAN MUHAMMAD SAMAN,PASIR PANJANG LAUT,32040,SERI MANJUNG,056939610,056939611,ABA1018@moe.edu.my,Bandar,SK,366.0,32.0,TIADA,ADA,100.689698,4.169197
,PERAK,PPD MANJUNG,Rendah,SK,ABA1019,SEKOLAH KEBANGSAAN BATU SEPULUH,LEKIR,32020,SITIAWAN,056791206,056791951,ABA1019@moe.edu.my,Bandar,SK,511.0,39.0,TIADA,ADA,100.717833,4.153824
,PERAK,PPD MANJUNG,Rendah,SK,ABA1020,SEKOLAH KEBANGSAAN SUNGAI TIRAM,SUNGAI TIRAM,32020,SITIAWAN,01165750543,TIADA,ABA1020@moe.edu.my,Luar Bandar,SK,261.0,24.0,TIADA,ADA,100.76602,4.10763
,PERAK,PPD MANJUNG,Rendah,SK,ABA1021,SEKOLAH KEBANGSAAN DATO' ISHAK,"KAMPUNG PADANG TEMBAK, TELUK MUROK",32200,LUMUT,056835440,056834332,ABA1021@moe.edu.my,Bandar,SK,410.0,33.0,TIADA,ADA,100.620306,4.208738
,PERAK,PPD MANJUNG,Rendah,SK,ABA1022,SEKOLAH KEBANGSAAN LUMUT,JLN ISKANDAR SHAH,32200,LUMUT,056835322,056835322,ABA1022@moe.edu.my,Luar Bandar,SK,119.0,14.0,TIADA,ADA,100.627343,4.230752
,PERAK,PPD MANJUNG,Rendah,SK,ABA1023,SEKOLAH KEBANGSAAN SERI PANGKOR,JALAN PASIR BOGAK,32300,PANGKOR,056851193,056855911,ABA1023@moe.edu.my,Luar Bandar,SK,462.0,45.0,ADA,ADA,100.572868,4.211426
,PERAK,PPD MANJUNG,Rendah,SK,ABA1024,SEKOLAH KEBANGSAAN TELAGA NENAS,KG TELAGA NANAS,32400,AYER TAWAR,056990070,056990070,ABA1024@moe.edu.my,Luar Bandar,SK,72.0,12.0,TIADA,ADA,100.6662925,4.324030229
,PERAK,PPD MANJUNG,Rendah,SK,ABA1025,SEKOLAH KEBANGSAAN KAMPUNG BAHARU,KAMPONG BAHARU (L),32400,AYER TAWAR,056915975,056915975,ABA1025@moe.edu.my,Luar Bandar,SK,134.0,13.0,TIADA,ADA,100.6707639,4.293653037
,PERAK,PPD MANJUNG,Rendah,SK,ABA1026,SEKOLAH KEBANGSAAN KAYAN,JALAN TELUK INTAN - SITIAWAN,32030,SITIAWAN,056792712,056792712,ABA1026@moe.edu.my,Luar Bandar,SK,109.0,18.0,TIADA,ADA,100.7979298,4.045690023
,PERAK,PPD MANJUNG,Rendah,SK,ABA1027,SEKOLAH KEBANGSAAN PANGKALAN TLDM,PANGKALAN TLDM,32100,LUMUT,056835890,056838527,ABA1027@moe.edu.my,Bandar,SK,1156.0,91.0,TIADA,ADA,100.617393,4.214277
,PERAK,PPD MANJUNG,Rendah,SK,ABA1028,SEKOLAH KEBANGSAAN SERI MANJUNG,BANDAR BARU SERI MANJUNG,32040,SERI MANJUNG,056881014,056889855,ABA1028@moe.edu.my,Bandar,SK,1462.0,111.0,TIADA,ADA,100.662883,4.188247
,PERAK,PPD MANJUNG,Rendah,SK,ABA1029,SEKOLAH KEBANGSAAN PANTAI REMIS,JALAN RUMAH MURAH,34900,PANTAI REMIS,056774375,056777586,ABA1029@moe.edu.my,Bandar,SK,285.0,31.0,TIADA,ADA,100.6316939,4.450634824
,PERAK,PPD MANJUNG,Rendah,SK,ABA1030,SEKOLAH KEBANGSAAN GUGUSAN LEKIR,D/A FELCRA GUGUSAN LEKIR,32000,SITIAWAN,056923687,056926126,ABA1030@moe.edu.my,Bandar,SK,178.0,21.0,ADA,ADA,100.756213,4.196446
,PERAK,PPD MANJUNG,Rendah,SK,ABA1031,SEKOLAH KEBANGSAAN PANGKALAN TLDM II,PANGKALAN TLDM,32100,LUMUT,056834914,056838079,ABA1031@moe.edu.my,Bandar,SK,706.0,62.0,ADA,ADA,100.619134,4.215815
,PERAK,PPD MANJUNG,Rendah,SK,ABA1032,SEKOLAH KEBANGSAAN KPG. DATO' SERI KAMARUDDIN,KPG DATO' SERI KAMARUDDIN,32040,SERI MANJUNG,056886616,056886616,ABA1032@moe.edu.my,Bandar,SK,929.0,78.0,ADA,ADA,100.6499159,4.182197003
,PERAK,PPD MANJUNG,Rendah,SK,ABA1033,SEKOLAH KEBANGSAAN SERI SITIAWAN,MANJUNG RAYA,32040,SERI MANJUNG,056882087,056882326,ABA1033@moe.edu.my,Bandar,SK,792.0,57.0,ADA,ADA,100.6570458,4.208274391
,PERAK,PPD MANJUNG,Rendah,SK,ABA1034,SEKOLAH KEBANGSAAN SERI BAYU,PETI SURAT 26 KOMPLEKS SEKOLAH WAWASAN MANJUNG,32040,SERI MANJUNG,056888950,056883866,ABA1034@moe.edu.my,Bandar,SK,1018.0,86.0,ADA,ADA,100.652998,4.199762
,PERAK,PPD MANJUNG,Rendah,SK,ABA1035,SEKOLAH KEBANGSAAN SERI SAMUDERA,MANJUNG RAYA,32040,SERI MANJUNG,056881909,056883703,ABA1035@moe.edu.my,Bandar,SK,617.0,43.0,TIADA,ADA,100.661125,4.208151
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2001,SEKOLAH KEBANGSAAN SUNGAI RAYA,"JLN. RAJA DR. NAZRIN SHAH, KAMPONG KEPAYANG",31300,KG. KEPAYANG,053571660,053571660,ABA2001@moe.edu.my,Bandar,SK,467.0,36.0,TIADA,ADA,101.1335844,4.519880705
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2002,SEKOLAH KEBANGSAAN SUNGAI RAPAT,JALAN RAJA ABDULLAH,31350,IPOH,053123528,053123528,ABA2002@moe.edu.my,Bandar,SK,544.0,45.0,TIADA,ADA,101.108199,4.573474
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2003,SEKOLAH KEBANGSAAN SUNGAI ROKAM,JALAN KENANGA,31350,IPOH,053121890,053115806,ABA2003@moe.edu.my,Bandar,SK,780.0,77.0,ADA,ADA,101.114984,4.577717
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2004,SEKOLAH KEBANGSAAN TAMBUN,JALAN AMPANG,31400,IPOH,055469261,055499086,ABA2004@moe.edu.my,Bandar,SK,657.0,63.0,ADA,ADA,101.140922,4.60805
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2005,SEKOLAH KEBANGSAAN TANJONG RAMBUTAN,JALAN STESEN,31250,TANJONG RAMBUTAN,055332950,055330751,ABA2005@moe.edu.my,Bandar,SK,664.0,54.0,TIADA,ADA,101.1556185,4.666795524
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2006,SEKOLAH KEBANGSAAN TASEK,JALAN SULTAN AZLAN SHAH UTARA,31400,IPOH,055464913,055464913,ABA2006@moe.edu.my,Bandar,SK,219.0,23.0,TIADA,ADA,101.1143016,4.638455769
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2007,SEKOLAH KEBANGSAAN CHEPOR,JALAN JELAPANG,31200,CHEMOR,052017246,052012135,ABA2007@moe.edu.my,Bandar,SK,874.0,67.0,ADA,ADA,101.0863176,4.683860296
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2008,SEKOLAH KEBANGSAAN HAJI MAHMUD,JALAN SEKOLAH,31200,CHEMOR,052011534,052018980,ABA2008@moe.edu.my,Bandar,SK,926.0,68.0,TIADA,ADA,101.1202054,4.720517799
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2009,SEKOLAH KEBANGSAAN SYED IDRUS,KUANG,31200,CHEMOR,052015669,052015669,ABA2009@moe.edu.my,Luar Bandar,SK,191.0,22.0,ADA,ADA,101.1405666,4.769492539
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2010,SEKOLAH KEBANGSAAN DATO' PANGLIMA KINTA,JALAN TUN PERAK,30200,IPOH,052545680,052544884,ABA2010@moe.edu.my,Bandar,SK,246.0,27.0,TIADA,ADA,101.069669,4.591497
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2011,SEKOLAH KEBANGSAAN JALAN PANGLIMA BUKIT GANTANG,JALAN PANGLIMA BUKIT GANTANG WAHAB,30000,IPOH,052559896,052432785,ABA2011@moe.edu.my,Bandar,SK,580.0,44.0,TIADA,ADA,101.079627,4.607156
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2012,SEKOLAH KEBANGSAAN SERI KEPAYANG,FAIR PARK,31400,IPOH,055450905,055450905,ABA2012@moe.edu.my,Bandar,SK,167.0,31.0,ADA,ADA,101.0964641,4.60649572
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2014,SEKOLAH KEBANGSAAN KAMPUNG PASIR PUTEH,TAMAN SHATIN,31650,IPOH,053219041,053233870,ABA2014@moe.edu.my,Bandar,SK,778.0,53.0,TIADA,ADA,101.074761,4.562289613
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2015,SEKOLAH KEBANGSAAN KUALA PARI,JALAN TOH PUAN RAHMAH,31450,MENGLEMBU,052821788,052821788,ABA2015@moe.edu.my,Bandar,SK,337.0,27.0,TIADA,ADA,101.0678129,4.57853477
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2016,SEKOLAH KEBANGSAAN PENGKALAN PEGOH,"JALAN SIMPANG PULAI, KG. PENGKALAN PEGOH",31500,LAHAT,053216399,053216399,ABA2016@moe.edu.my,Bandar,SK,925.0,72.0,ADA,ADA,101.0696308,4.531342109
,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2017,SEKOLAH KEBANGSAAN PENGKALAN BAHARU,"JALAN GOPENG, KG. KEPAYANG",31300,KG. KEPAYANG,053576199,053577962,ABA2017@moe.edu.my,Bandar,SK,364.0,31.0,TIADA,ADA,101.1189996,4.492805503
,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2030,SEKOLAH KEBANGSAAN TOH INDERA WANGSA AHMAD,JALAN SULAIMAN,31000,BATU GAJAH,053661253,053652576,ABA2030@moe.edu.my,Bandar,SK,764.0,57.0,TIADA,ADA,101.040258,4.471507
,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2031,SEKOLAH KEBANGSAAN SIPUTEH,SIPUTEH,31560,SIPUTEH,053660621,053660621,ABA2031@moe.edu.my,Bandar,SK,702.0,52.0,ADA,ADA,100.997639,4.467954
,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2032,SEKOLAH KEBANGSAAN TRONOH,JALAN BOTA LAMA,31750,TRONOH,053679414,053677410,ABA2032@moe.edu.my,Bandar,SK,269.0,20.0,TIADA,ADA,100.986224,4.418751
,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2033,SEKOLAH KEBANGSAAN KG. SERI RAHMAT,JALAN CHANGKAT LARANG,31500,LAHAT,053665516,053665516,ABA2033@moe.edu.my,Bandar,SK,89.0,11.0,TIADA,ADA,101.077179,4.50207
,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2034,SEKOLAH KEBANGSAAN TANJUNG TUALANG,BATU 7,31000,BATU GAJAH,053702155,053702155,ABA2034@moe.edu.my,Bandar,SK,104.0,17.0,TIADA,ADA,101.061239,4.368111
,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2035,SEKOLAH KEBANGSAAN AYER PAPAN,KAMPUNG AYER PAPAN,31800,TANJONG TUALANG,053607099,053607099,ABA2035@moe.edu.my,Luar Bandar,SK,74.0,12.0,TIADA,ADA,101.053742,4.311469
,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2036,SEKOLAH KEBANGSAAN CHANGKAT TIN,CHANGKAT TIN,31800,TANJUNG TUALANG,053607925,053607925,ABA2036@moe.edu.my,Luar Bandar,SK,120.0,23.0,ADA,ADA,101.052636,4.278091
,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2038,SEKOLAH KEBANGSAAN BAKAP,JALAN TG. TUALANG,31000,BATU GAJAH,053668792,053668792,ABA2038@moe.edu.my,Bandar,SK,321.0,28.0,TIADA,ADA,101.044991,4.444662
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2039,SEKOLAH KEBANGSAAN PASUKAN POLIS HUTAN,JALAN PASUKAN POLIS HUTAN,31150,ULU KINTA,055335358,055331131,ABA2039@moe.edu.my,Bandar,SK,868.0,74.0,ADA,ADA,101.1712708,4.655241326
,PERAK,PPD KINTA SELATAN,Rendah,SK,ABA2040,SEKOLAH KEBANGSAAN AYER DENAK,TRONOH,31750,TRONOH,TIADA,TIADA,ABA2040@moe.edu.my,Bandar,SK,95.0,11.0,TIADA,ADA,101.013205,4.350163
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2041,SEKOLAH KEBANGSAAN MANJOI (SATU),"JALAN  MASJID, KG. MANJOI",30020,IPOH,055260408,055286572,ABA2041@moe.edu.my,Bandar,SK,423.0,39.0,TIADA,ADA,101.071705,4.618595
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2042,SEKOLAH KEBANGSAAN GURU KALGIDHAR,"JALAN GUNTONG, BUNTONG",30100,IPOH,052413269,TIADA,ABA2042@moe.edu.my,Bandar,SBK,84.0,15.0,TIADA,ADA,101.064374,4.592886
,PERAK,PPD KINTA UTARA,Rendah,SK,ABA2043,SEKOLAH KEBANGSAAN MANJOI (DUA),JALAN MASJID KG. MANJOI,30020,IPOH,055265441,055268129,ABA2043@moe.edu.my,Bandar,SK,274.0,34.0,TIADA,ADA,101.0720727,4.618859166
